기본순자산금액,회계연도,순자산조정금액,소관명,적립금잉여금액,구분,합계금액
0.0,2022,0.0,국가인권위원회,50422988883.0,재원의조달및이전,50422988883.0
0.0,2022,0.0,국가인권위원회,50469528752.0,재원의조달,50469528752.0
0.0,2022,0.0,국가인권위원회,35981938920.0,국고수입,35981938920.0
0.0,2022,0.0,국가인권위원회,8151000.0,제재금수익,8151000.0
0.0,2022,0.0,국가인권위원회,18323000.0,기타비교환수익,18323000.0
0.0,2022,0.0,국가인권위원회,11427601832.0,무상이전수입,11427601832.0
0.0,2022,0.0,국가정보원,0.0,전기 기말순자산,0.0
0.0,2022,0.0,국가정보원,0.0,당기 기초순자산,0.0
0.0,2022,0.0,국가정보원,736154979420.0,재정운영결과,736154979420.0
0.0,2022,0.0,국무조정실 및 국무총리비서실,8958392880.0,기타재원조달,8958392880.0
0.0,2022,0.0,국무조정실 및 국무총리비서실,286499820.0,재원의이전,286499820.0
0.0,2022,0.0,국무조정실 및 국무총리비서실,286499820.0,국고이전지출,286499820.0
0.0,2022,-474485388.0,국무조정실 및 국무총리비서실,0.0,조정항목,-474485388.0
0.0,2022,-474485388.0,국무조정실 및 국무총리비서실,0.0,자산재평가이익,-474485388.0
127636688664.0,2022,288273835306.0,국무조정실 및 국무총리비서실,-4732924611.0,당기 기말순자산,411177599359.0
13678224105.0,2022,4849656410.0,국민권익위원회,20755085311.0,전기 기초순자산,39282965826.0
13678224105.0,2022,4849656410.0,국민권익위원회,20755085311.0,보고금액,39282965826.0
0.0,2022,0.0,국민권익위원회,97676199661.0,재정운영결과,97676199661.0
0.0,2022,0.0,국민권익위원회,94671840981.0,재원의조달및이전,94671840981.0
0.0,2022,0.0,국민권익위원회,95359129280.0,재원의조달,95359129280.0
0.0,2022,0.0,국민권익위원회,83413516950.0,국고수입,83413516950.0
0.0,2022,0.0,국민권익위원회,90997110.0,제재금수익,90997110.0
0.0,2022,0.0,국민권익위원회,668511320.0,기타비교환수익,668511320.0
0.0,2022,0.0,국민권익위원회,4234204600.0,무상이전수입,4234204600.0
0.0,2022,0.0,국민권익위원회,6951899300.0,기타재원조달,6951899300.0
0.0,2022,0.0,국민권익위원회,687288299.0,재원의이전,687288299.0
0.0,2022,0.0,국민권익위원회,435124800.0,국고이전지출,435124800.0
0.0,2022,0.0,국민권익위원회,252163499.0,무상이전지출,252163499.0
0.0,2022,2043078095.0,국민권익위원회,0.0,조정항목,2043078095.0
0.0,2022,2043078095.0,국민권익위원회,0.0,자산재평가이익,2043078095.0
13678224105.0,2022,6892734505.0,국민권익위원회,17750726631.0,전기 기말순자산,38321685241.0
13678224105.0,2022,6892734505.0,국민권익위원회,17750726631.0,당기 기초순자산,38321685241.0
13678224105.0,2022,6892734505.0,국민권익위원회,17750726631.0,보고금액,38321685241.0
0.0,2022,0.0,국민권익위원회,98968006768.0,재정운영결과,98968006768.0
0.0,2022,0.0,국민권익위원회,96111889846.0,재원의조달및이전,96111889846.0
0.0,2022,0.0,국무조정실 및 국무총리비서실,11361500.0,제재금수익,11361500.0
0.0,2022,0.0,국무조정실 및 국무총리비서실,629859711600.0,국고수입,629859711600.0
0.0,2022,0.0,국무조정실 및 국무총리비서실,638829465980.0,재원의조달,638829465980.0
0.0,2022,0.0,국가정보원,736154979420.0,재원의조달및이전,736154979420.0
0.0,2022,0.0,국가정보원,778472944330.0,재원의조달,778472944330.0
0.0,2022,0.0,국가정보원,778472944330.0,국고수입,778472944330.0
