계정명,세출예산액,세출예산현액,이용및이체증액,이용및이체감액,전용증액,전용감액,불용액,지출금액,회계명,회계연도,다음년도이월액,소관명,전년도이월액,예비비지출결정증액,예비비지출결정감액,초과지출승인액
,1596640000000.0,1596843195000.0,0.0,0.0,15000000.0,-15000000.0,58675090.0,1596747842640.0,소재부품장비경쟁력강화특별회계,2022,36677270.0,산업통상자원부,203195000.0,0.0,0.0,0.0
융자계정,601604000000.0,628618492000.0,0.0,0.0,0.0,0.0,90027703950.0,538590788050.0,에너지및자원사업특별회계,2022,0.0,산업통상자원부,0.0,27014492000.0,0.0,0.0
투자계정,1268181000000.0,1270609541250.0,0.0,0.0,0.0,0.0,259258560.0,1269781108080.0,에너지및자원사업특별회계,2022,569174610.0,산업통상자원부,2428541250.0,0.0,0.0,0.0
,6274211800000.0,6502083763090.0,0.0,0.0,17277182000.0,-17277182000.0,52072566520.0,6444986816220.0,일반회계,2022,5024380350.0,산업통상자원부,84309471090.0,143562492000.0,0.0,0.0
,248321000000.0,254148841670.0,0.0,0.0,4739003000.0,-4739003000.0,3878631290.0,244994115090.0,일반회계,2022,5276095290.0,새만금개발청,5827841670.0,0.0,0.0,0.0
,255296000000.0,262615367720.0,0.0,0.0,43741743000.0,-43741743000.0,6957060390.0,236760351890.0,일반회계,2022,18897955440.0,소방청,7319367720.0,0.0,0.0,0.0
제주특별자치도계정,111000000.0,111000000.0,0.0,0.0,0.0,0.0,0.0,111000000.0,국가균형발전특별회계,2022,0.0,식품의약품안전처,0.0,0.0,0.0,0.0
지역지원계정,3730000000.0,3730000000.0,0.0,0.0,0.0,0.0,0.0,3730000000.0,국가균형발전특별회계,2022,0.0,식품의약품안전처,0.0,0.0,0.0,0.0
구조개선사업계정,2276000000.0,2280180000.0,0.0,0.0,0.0,0.0,69693380.0,2210486620.0,농어촌구조개선특별회계,2022,0.0,식품의약품안전처,4180000.0,0.0,0.0,0.0
,654525500000.0,659351880430.0,2653600000.0,-2653600000.0,1823067000.0,-1823067000.0,14457912280.0,635520107220.0,일반회계,2022,9373860930.0,식품의약품안전처,4826380430.0,0.0,0.0,0.0
제주특별자치도계정,1137000000.0,1137000000.0,0.0,0.0,0.0,0.0,0.0,1137000000.0,국가균형발전특별회계,2022,0.0,여성가족부,0.0,0.0,0.0,0.0
지역지원계정,48166000000.0,53856800000.0,0.0,0.0,0.0,0.0,2000000000.0,51856800000.0,국가균형발전특별회계,2022,0.0,여성가족부,5690800000.0,0.0,0.0,0.0
,634108000000.0,640341240250.0,0.0,0.0,3105280000.0,-3105280000.0,14252253320.0,612636741940.0,일반회계,2022,13452244990.0,여성가족부,6233240250.0,0.0,0.0,0.0
,2806112000000.0,2891047566500.0,17674000000.0,-17674000000.0,16591691000.0,-16591691000.0,72983595940.0,2811547122320.0,일반회계,2022,6516848240.0,외교부,13797566500.0,71138000000.0,0.0,0.0
,155991000000.0,156067724000.0,0.0,0.0,194000000.0,-194000000.0,1137906250.0,154929817750.0,일반회계,2022,0.0,원자력안전위원회,76724000.0,0.0,0.0,0.0
,4226117400000.0,4226301530000.0,1690220000.0,-1690220000.0,51059000.0,-51059000.0,6482610940.0,4219752557200.0,일반회계,2022,66361860.0,인사혁신처,0.0,0.0,0.0,184130000.0
,0.0,81000000.0,81000000.0,0.0,81000000.0,-81000000.0,29125290.0,51874710.0,일반회계,2022,0.0,조달청,0.0,0.0,0.0,0.0
