사업규모설명,회계연도,소관명,총사업비,사업유형대분류,사업유형중분류,사업유형,설계비,기타관리금액,시설부대비,총사업비명,보상비,예비비,감리비,공사비
,2023,교육부,76078,건축,병원등 의료시설,의료시설(장례식장 포함),3518,0,227,충북대병원 의생명진료연구동 건립사업,0,0,3607,68726
,2023,교육부,25924,건축,병원등 의료시설,의료시설(장례식장 포함),1283,0,54,치의학융복합센터 건립사업,0,0,1138,23449
,2023,교육부,47850,건축,선박,선박,1193,0,362,(경상국립대학교) 새바다호 대체 LNG추진 어업실습선 건조,0,0,895,45400
,2023,교육부,20245,건축,선박,선박,715,0,44,(전남대학교) 해양수산조사선 청경호 대체선박 건조,0,0,486,19000
,2023,교육부,401115,건축,업무시설(공공청사),업무시설(공공청사),15603,0,543,(사립학교교직원연금공단) 서울회관 재건축 사업,0,0,6900,378069
,2023,교육부,37669,건축,학교등 교육연구시설,도서관,1027,0,55,도서관(학생회관) 개축,8963,0,700,26924
,2023,교육부,19309,건축,학교등 교육연구시설,도서관,1042,0,41,디지털도서관 신축,0,0,59,18167
,2023,교육부,28299,건축,학교등 교육연구시설,연구시설,1067,0,0,전남대병원 의생명연구지원센터 건립,0,0,695,26537
,2023,교육부,41289,건축,학교등 교육연구시설,연구시설,2145,0,86,전남대병원 전문진료센터 조성사업,0,0,1540,37518
,2023,교육부,61253,건축,학교등 교육연구시설,연구시설,2279,0,126,전남대병원(화순분원) 개방형의료혁신센터건립사업,0,0,2214,56634
,2023,교육부,26183,건축,학교등 교육연구시설,학교 등 교육시설,952,0,48,(전북대 부설고)본관개축,0,0,208,24975
,2023,교육부,23386,건축,학교등 교육연구시설,학교 등 교육시설,1015,0,51,경북대학교 상주캠퍼스 창의융합교육관 신축,0,0,223,22097
,2023,교육부,28358,건축,학교등 교육연구시설,학교 등 교육시설,1292,0,61,경북대학교 신약개발센터 신축,0,0,268,26737
,2023,교육부,33247,건축,학교등 교육연구시설,학교 등 교육시설,1379,0,69,공주대 부설 특수학교 신축,0,0,1628,30171
,2023,교육부,20517,건축,학교등 교육연구시설,학교 등 교육시설,956,0,45,공주대학교 미래융합역사문화관 신축,0,0,187,19329
,2023,교육부,33244,건축,학교등 교육연구시설,학교 등 교육시설,1299,0,68,공학관 증축,0,0,296,31581
,2023,교육부,30054,건축,학교등 교육연구시설,학교 등 교육시설,884,0,62,"교육1,2,3호관 개축",0,0,2245,26863
,2023,교육부,20789,건축,학교등 교육연구시설,학교 등 교육시설,837,0,34,국제컨벤션센터 신축,0,0,333,19585
,2023,교육부,23530,건축,학교등 교육연구시설,학교 등 교육시설,941,0,37,농업생명과학관 신축,0,0,47,22505
,2023,교육부,37982,건축,학교등 교육연구시설,학교 등 교육시설,1546,0,82,농업생명과학대학개축,0,0,887,35467
,2023,교육부,45680,건축,학교등 교육연구시설,학교 등 교육시설,1684,0,87,도서관 및 학생회관 개축,0,5841,374,37694
,2023,교육부,35583,건축,학교등 교육연구시설,학교 등 교육시설,1516,0,77,디지털 융합 인재양성관 신축,0,0,363,33627
,2023,교육부,66020,건축,학교등 교육연구시설,학교 등 교육시설,1173,0,132,목포해양대학교 새누리호 실습선 대체 건조 사업(1척),0,6029,1220,57466
,2023,교육부,26229,건축,학교등 교육연구시설,학교 등 교육시설,1197,0,50,물리생명공학관 개축,0,0,324,24658
,2023,교육부,22807,건축,학교등 교육연구시설,학교 등 교육시설,1032,0,42,미래도서관 신축,0,0,557,21176
,2023,교육부,24621,건축,학교등 교육연구시설,학교 등 교육시설,1068,0,50,법학전문대학원 1호관 개축,0,0,829,22674
,2023,교육부,48172,건축,학교등 교육연구시설,학교 등 교육시설,1552,0,100,부산대 부설 특수학교 신축,396,0,2664,43460
,2023,교육부,40617,건축,학교등 교육연구시설,학교 등 교육시설,1547,0,89,사회관 개축,0,0,375,38606
,2023,교육부,25218,건축,학교등 교육연구시설,학교 등 교육시설,1178,0,54,산학융합 PLAZA 신축사업,0,0,612,23374
,2023,교육부,21271,건축,학교등 교육연구시설,학교 등 교육시설,920,0,43,서울대학교병원 임상교육훈련센터 건립,0,0,1665,18643
,2023,교육부,32425,건축,학교등 교육연구시설,학교 등 교육시설,1460,0,70,스마트영농창업 융복합 기술혁신센터 신축,0,0,306,30589
,2023,교육부,22672,건축,학교등 교육연구시설,학교 등 교육시설,1054,0,48,융합교육정보관 개축 및 교육대학원 보수,0,0,129,21441
,2023,교육부,24414,건축,학교등 교육연구시설,학교 등 교육시설,913,0,53,자연1호관 개축,0,0,315,23133
,2023,교육부,26462,건축,학교등 교육연구시설,학교 등 교육시설,1130,0,58,자연과학대학 3호관 개축,0,0,247,25027
