계정명,DIF_AMT,이체등증감액,회계명,회계연도,불납결손액,미수납액,소관명,수납금액,징수결정금액,세입예산액,세입예산현액
,216096734420.0,0.0,일반회계,2022,0.0,82999352610.0,행정안전부,277214734420.0,360214087030.0,61118000000.0,61118000000.0
,23105493120.0,0.0,행정중심복합도시건설특별회계,2022,0.0,121908070.0,행정중심복합도시건설청,428307493120.0,428429401190.0,405202000000.0,405202000000.0
,-434586990.0,0.0,일반회계,2022,0.0,0.0,헌법재판소,45413010.0,45413010.0,480000000.0,480000000.0
세종특별자치시계정,280950230.0,0.0,국가균형발전특별회계,2022,0.0,7542790.0,환경부,280950230.0,288493020.0,0.0,0.0
제주특별자치도계정,15691320.0,0.0,국가균형발전특별회계,2022,0.0,0.0,환경부,15691320.0,15691320.0,0.0,0.0
지역자율계정,13741092320.0,0.0,국가균형발전특별회계,2022,0.0,506906610.0,환경부,15241092320.0,15747998930.0,1500000000.0,1500000000.0
지역지원계정,1435418860.0,0.0,국가균형발전특별회계,2022,0.0,6039930.0,환경부,1684418860.0,1690458790.0,249000000.0,249000000.0
농어촌특별세사업계정,3313302360.0,0.0,농어촌구조개선특별회계,2022,0.0,0.0,환경부,3813302360.0,3813302360.0,500000000.0,500000000.0
투자계정,107365170260.0,0.0,에너지및자원사업특별회계,2022,0.0,7512524680.0,환경부,120175170260.0,127687694940.0,12810000000.0,12810000000.0
,45175656590.0,13733000000.0,일반회계,2022,0.0,11042196360.0,환경부,62093656590.0,73135852950.0,3185000000.0,16918000000.0
,434646131680.0,0.0,환경개선특별회계,2022,22164845680.0,716318680050.0,환경부,7176108131680.0,7914591657410.0,6741462000000.0,6741462000000.0
,7905560.0,0.0,일반회계,2021,0.0,0.0,가습기살균제사건과 4·16세월호참사 특별조사위원회,7905560.0,7905560.0,0.0,0.0
,117518920.0,0.0,일반회계,2021,0.0,0.0,감사원,726518920.0,726518920.0,609000000.0,609000000.0
,11742378270.0,0.0,일반회계,2021,0.0,1954297650.0,개인정보보호위원회,16026378270.0,17980675920.0,4284000000.0,4284000000.0
손익계정,18425713870.0,0.0,경찰병원,2021,1170640.0,22959500.0,경찰청,98200713870.0,98224844010.0,79775000000.0,79775000000.0
자본계정,186600320.0,0.0,경찰병원,2021,0.0,0.0,경찰청,3104600320.0,3104600320.0,2918000000.0,2918000000.0
,134509241640.0,0.0,일반회계,2021,5080457350.0,1050375891970.0,경찰청,998434241640.0,2053890590960.0,863925000000.0,863925000000.0
제주특별자치도계정,617956320.0,0.0,국가균형발전특별회계,2021,0.0,0.0,고용노동부,617956320.0,617956320.0,0.0,0.0
지역지원계정,15920971160.0,0.0,국가균형발전특별회계,2021,0.0,6242957870.0,고용노동부,15920971160.0,22163929030.0,0.0,0.0
