계정명,이체등증감액,회계명,회계연도,수입항,수입항명,수입관,수입관명,불납결손액,미수납액,소관명,수납액,징수결정액,세입예산액/당초수입계획액,세입예산액/수정수입계획액,세입예산현액/수입계획현액,수납순액
,0,기후대응기금,2022,56,"벌금,몰수금및과태료",12,경상이전수입,0,5783453860,기획재정부,70400000,5853853860,0,0,0,70400000
,0,기후대응기금,2022,57,변상금및위약금,12,경상이전수입,0,0,기획재정부,13320,13320,0,0,0,13320
,0,기후대응기금,2022,59,기타경상이전수입,12,경상이전수입,0,140027460,기획재정부,3.18842E+11,3.18982E+11,7.30584E+11,4.47639E+11,4.47639E+11,3.18842E+11
,0,기후대응기금,2022,75,융자원금회수,20,융자및전대차관원금회수,0,0,기획재정부,900000000,900000000,0,0,0,900000000
,0,기후대응기금,2022,85,정부예금회수,31,차입금및여유자금회수,0,0,기획재정부,6.11107E+12,6.11107E+12,0,0,0,0
,0,기후대응기금,2022,91,전입금,40,정부내부수입및기타,0,0,기획재정부,1.26315E+12,1.26315E+12,1.57664E+12,1.26315E+12,1.26315E+12,1.26315E+12
,0,기후대응기금,2022,94,예수금,40,정부내부수입및기타,0,0,기획재정부,4.60105E+11,4.60105E+11,1.52204E+11,4.60105E+11,4.60105E+11,4.60105E+11
,0,대외경제협력기금,2022,54,기타이자수입및재산수입,11,재산수입,0,5063548760,기획재정부,49151286300,54214835060,47928000000,47928000000,47928000000,49151286300
,0,대외경제협력기금,2022,59,기타경상이전수입,12,경상이전수입,0,0,기획재정부,183539560,183539560,0,0,0,183539560
,0,대외경제협력기금,2022,75,융자원금회수,20,융자및전대차관원금회수,0,22483157060,기획재정부,2.07546E+11,2.30029E+11,2.1778E+11,2.1778E+11,2.1778E+11,2.07546E+11
,0,대외경제협력기금,2022,85,정부예금회수,31,차입금및여유자금회수,0,0,기획재정부,1.55404E+12,1.55404E+12,44891000000,44891000000,44891000000,44008642110
,0,대외경제협력기금,2022,91,전입금,40,정부내부수입및기타,0,0,기획재정부,6.62268E+11,6.62268E+11,7.52941E+11,6.62268E+11,6.62268E+11,6.62268E+11
,0,대외경제협력기금,2022,94,예수금,40,정부내부수입및기타,0,0,기획재정부,3.45E+11,3.45E+11,3.86701E+11,3.74507E+11,3.74507E+11,3.45E+11
,0,복권기금,2022,54,기타이자수입및재산수입,11,재산수입,0,1535480,기획재정부,5195652320,5197187800,8029000000,8029000000,8029000000,5195652320
,0,복권기금,2022,57,변상금및위약금,12,경상이전수입,0,0,기획재정부,40991790,40991790,0,0,0,40991790
,0,복권기금,2022,59,기타경상이전수입,12,경상이전수입,0,1505876400,기획재정부,61362038110,62867914510,98581000000,64400000000,64400000000,61362038110
,0,복권기금,2022,69,잡수입,13,재화및용역판매수입,0,0,기획재정부,6.38154E+12,6.38154E+12,6.39148E+12,6.49693E+12,6.49693E+12,6.38154E+12
,0,복권기금,2022,85,정부예금회수,31,차입금및여유자금회수,0,0,기획재정부,8.56434E+11,8.56434E+11,8.62599E+11,8.62599E+11,8.62599E+11,8.56434E+11
,0,복권기금,2022,91,전입금,40,정부내부수입및기타,0,0,기획재정부,36254839820,36254839820,58705000000,36700000000,36700000000,36254839820
,0,복권기금,2022,92,예탁원금회수,40,정부내부수입및기타,0,0,기획재정부,1.75E+11,1.75E+11,1.75E+11,1.75E+11,1.75E+11,1.75E+11
,0,복권기금,2022,94,예수금,40,정부내부수입및기타,0,0,기획재정부,1.22784E+11,1.22784E+11,1.5683E+11,1.5683E+11,1.5683E+11,1.22784E+11
