세출예산현액,세출증감액,불용액,세출지출액,회계연도,다음년도이월액,소관명,수납액,예산현액,증감액
5.73313E+11,15356925210,5978399530,5.57956E+11,2020,9378525680,여성가족부,34838470490,10327000000,24511470490
2.46366E+12,1.21094E+11,1.1872E+11,2.34257E+12,2020,2373798110,외교부,64253261090,2.83734E+11,-2.19481E+11
1.08406E+11,1076187490,1020074390,1.0733E+11,2020,56113100,원자력안전위원회,1558770530,1512000000,46770530
3.24854E+12,12309943500,12309943500,3.23623E+12,2020,0,인사혁신처,58632131360,48846000000,9786131360
4.82603E+11,17827816430,15508218140,4.64775E+11,2020,2319598290,조달청,4.69999E+11,4.54275E+11,15724060430
1.45338E+13,14626875280,5505938860,1.45192E+13,2020,9120936420,중소벤처기업부,1.49921E+11,1.15429E+11,34492457300
7.4282E+11,32091515950,32058967210,7.10729E+11,2020,32548740,중앙선거관리위원회,12215461760,10465000000,1750461760
4193660000,139355160,139355160,4054304840,2020,0,진실·화해를위한과거사정리위원회,0,0,0
8.75736E+11,2.31241E+11,18347346920,6.44496E+11,2020,2.12893E+11,질병관리청,15136237370,35233000000,-20096762630
4.72969E+11,21070031770,20584131770,4.51899E+11,2020,485900000,통계청,4482367040,5126000000,-643632960
3.56078E+11,16551532650,15925387880,3.39526E+11,2020,626144770,통일부,1164364410,2724000000,-1559635590
6.35405E+11,6347545570,6347545570,6.29057E+11,2020,0,특허청,6.82419E+11,6.35405E+11,47013873520
1.47738E+12,21691392160,13026950920,1.45568E+12,2020,8664441240,해양경찰청,4156123040,4936000000,-779876960
6.58555E+12,2.33126E+11,94071281670,6.35243E+12,2020,1.39054E+11,해양수산부,1.75535E+12,1.62315E+12,1.32208E+11
6.91074E+13,1.58219E+11,56989691280,6.89492E+13,2020,1.01229E+11,행정안전부,65497720280,60100585000,5397135280
6.42222E+11,13948236840,3130338730,6.28274E+11,2020,10817898110,행정중심복합도시건설청,3.33974E+11,3.20527E+11,13447472960
53650024690,4420769750,4420769750,49229254940,2020,0,헌법재판소,174672830,183000000,-8327170
1.47597E+13,2.95053E+11,1.77116E+11,1.44647E+13,2020,1.17937E+11,환경부,7.10516E+12,6.53588E+12,5.6928E+11
22937492290,7702394630,5255704070,15235097660,2019,2446690560,가습기살균제사건과 4·16세월호참사 특별조사위원회,0,0,0
1.33791E+11,7710982160,4030676250,1.2608E+11,2019,3680305910,감사원,1592084080,475000000,1117084080
1.10497E+13,2.98008E+11,2.88965E+11,1.07517E+13,2019,9043255530,경찰청,9.64619E+11,9.63339E+11,1279560690
7.30195E+12,1.84877E+11,1.79469E+11,7.11707E+12,2019,5407798200,고용노동부,1.61579E+11,86322000000,75257068390
1.32679E+11,5442672440,4260985300,1.27237E+11,2019,1181687140,공정거래위원회,52103264260,4.24754E+11,-3.72651E+11
1.638E+13,1.71503E+12,1.66117E+12,1.4665E+13,2019,53859091510,과학기술정보통신부,8.66239E+12,9.43394E+12,-7.71552E+11
5.53133E+11,23934222600,23410136600,5.29199E+11,2019,524086000,관세청,1.31789E+11,1.32033E+11,-244197050
7.50768E+13,2.51036E+11,1.96021E+11,7.48258E+13,2019,55015385490,교육부,4.22409E+12,4.02782E+12,1.96274E+11
5.37475E+12,79275216500,65761538190,5.29548E+12,2019,13513678310,국가보훈처,3148975540,8009000000,-4860024460
38972755000,2705099200,2482090600,36267655800,2019,223008600,국가인권위원회,12405860,17000000,-4594140
5.51779E+11,36754037600,23405992600,5.15025E+11,2019,13348045000,국가정보원,42415518000,22439000000,19976518000
5.87598E+11,25546467190,25512569190,5.62051E+11,2019,33898000,국무조정실 및 국무총리비서실,64106670,0,64106670
87498000000,7505902050,7505902050,79992097950,2019,0,국민권익위원회,967823180,1141000000,-173176820
3.33025E+13,1.09047E+12,5.34419E+11,3.2212E+13,2019,5.56047E+11,국방부,1.72097E+12,1.51041E+12,2.10559E+11
1.7451E+12,32946815910,32804616910,1.71216E+12,2019,142199000,국세청,1.05807E+12,9.77843E+11,80226876460
3.81205E+13,9.60308E+11,6.54243E+11,3.71602E+13,2019,3.06065E+11,국토교통부,1.52053E+13,1.53894E+13,-1.84054E+11
6.48749E+11,59205333070,46294933470,5.89543E+11,2019,12910399600,국회,3477200290,2601000000,876200290
3.07476E+12,5935938710,5734119710,3.06882E+12,2019,201819000,금융위원회,36610148770,38751000000,-2140851230
4.0187E+11,19122272430,10702862930,3.82748E+11,2019,8419409500,기상청,8324799880,22036000000,-13711200120
1.39863E+13,1.38226E+12,1.37083E+12,1.26041E+13,2019,11422375580,기획재정부,3.35982E+14,3.37283E+14,-1.30086E+12
2.0707E+13,7.87946E+11,5.21041E+11,1.9919E+13,2019,2.66905E+11,농림축산식품부,1.43616E+13,1.3477E+13,8.84584E+11
9.93802E+11,17845742170,17008155440,9.75956E+11,2019,837586730,농촌진흥청,28080114780,18995000000,9085114780
1.93941E+12,1.13607E+11,1.04496E+11,1.8258E+12,2019,9110343860,대법원,7.15702E+11,9.15469E+11,-1.99767E+11
92331779810,10308478560,10138019290,82023301250,2019,170459270,대통령경호처,201489760,123000000,78489760
93669000000,3674995830,3674995830,89994004170,2019,0,대통령비서실 및 국가안보실,327738080,94000000,233738080
7.94007E+11,11393740680,7552159680,7.82613E+11,2019,3841581000,문화재청,42484476210,41859000000,625476210
3.57976E+12,1.73308E+11,85465470000,3.40646E+12,2019,87842161120,문화체육관광부,1.54877E+11,1.59491E+11,-4614120310
31580000000,1580881590,820479590,29999118410,2019,760402000,민주평화통일자문회의,16877470,5000000,11877470
63022000000,3928688860,3928688860,59093311140,2019,0,방송통신위원회,9152869190,35188000000,-26035130810
1.59666E+13,5.63661E+11,2.47782E+11,1.54029E+13,2019,3.1588E+11,방위사업청,2.31118E+11,2.59407E+11,-28289489390
3.94183E+12,2.64729E+11,2.49486E+11,3.6771E+12,2019,15243426830,법무부,1.41442E+12,1.74118E+12,-3.26758E+11
36290000000,1556848070,1556848070,34733151930,2019,0,법제처,11342380,0,11342380
2.2932E+11,10757486070,9804036070,2.18562E+11,2019,953450000,병무청,258688530,206000000,52688530
4.63806E+13,1.20219E+11,45481669160,4.62604E+13,2019,74737761310,보건복지부,5.88689E+11,6.71335E+11,-82646399620
2.92959E+12,64592629780,26686246050,2.86499E+12,2019,37906383730,산림청,9.86297E+11,9.71016E+11,15280917770
9.16398E+12,8.20245E+11,7.49589E+11,8.34373E+12,2019,70656249360,산업통상자원부,5.56692E+12,6.24519E+12,-6.7827E+11
2.90824E+11,3410226360,2128253950,2.87414E+11,2019,1281972410,새만금개발청,1194222720,1265000000,-70777280
2.42772E+11,21267433960,5791854970,2.21504E+11,2019,15475578990,소방청,2781276130,2537000000,244276130
5.15918E+11,26651964050,14215699270,4.89266E+11,2019,12436264780,식품의약품안전처,29429729590,24698000000,4731729590
6.15007E+11,21249212200,11014085210,5.93758E+11,2019,10235126990,여성가족부,4424718990,8094000000,-3669281010
2.38937E+12,46915384010,40343873890,2.34246E+12,2019,6571510120,외교부,2.92051E+11,2.66734E+11,25317319630
1.0715E+11,1215686810,1215686810,1.05935E+11,2019,0,원자력안전위원회,1704352660,1418000000,286352660
2.96864E+12,2864250140,2864250140,2.96577E+12,2019,0,인사혁신처,60418120160,59280000000,1138120160
3.96958E+11,23666530770,21500605300,3.73292E+11,2019,2165925470,조달청,4.14349E+11,3.9661E+11,17738958350
5.10273E+12,37252884780,8617397780,5.06548E+12,2019,28635487000,중소벤처기업부,1.97428E+11,81465000000,1.15963E+11
3.48037E+11,19318076600,19151585600,3.28719E+11,2019,166491000,중앙선거관리위원회,886094000,838000000,48094000
3.83469E+11,13135784870,13135784870,3.70333E+11,2019,0,통계청,4341636750,3256000000,1085636750
3.25963E+11,10236102210,9913100060,3.15727E+11,2019,323002150,통일부,1981406260,2811000000,-829593740
6.61582E+11,6127656230,6127656230,6.55455E+11,2019,0,특허청,6.66752E+11,6.6155E+11,5201580180
1.38945E+12,53945053010,41772356040,1.3355E+12,2019,12172696970,해양경찰청,12323530410,4898000000,7425530410
6.44575E+12,4.08744E+11,1.04671E+11,6.037E+12,2019,3.04072E+11,해양수산부,1.45936E+12,1.55971E+12,-1.00345E+11
5.65989E+13,3.7138E+11,2.40077E+11,5.62275E+13,2019,1.31303E+11,행정안전부,61153840940,58877000000,2276840940
