회계연도,소관명,PRV_1_AMT,PRV_2_AMT,PRV_3_AMT,STL_TACCT_NM,THISP_1_AMT,THISP_2_AMT,THISP_3_AMT
2011,관세청,0,0,171365829237,건물감가상각누계액,0,6883567222,174612687168
2011,관세청,0,6249609949,0,3. 구축물,0,6826939129,0
2011,관세청,0,0,6249609949,구축물감가상각누계액,0,1323649636,5503289493
2011,관세청,0,12636695819,0,4. 기계장치,0,14224296890,0
2011,관세청,0,0,12636695819,기계장치감가상각누계액,0,8475154948,5749141942
2011,관세청,0,60440791409,0,5. 집기ㆍ비품ㆍ차량운반구,0,115797336982,0
2011,관세청,0,0,60440791409,집기ㆍ비품ㆍ차량운반구감가상각누계액,0,52468736077,63328600905
2011,관세청,0,88967658468,0,6. 기타일반유형자산,0,123536338455,0
2011,관세청,0,0,88967658468,기타일반유형자산감가상각누계액,0,56381541575,67154796880
2011,관세청,0,0,845308291,7. 건설중인일반유형자산,0,0,7196179869
2011,관세청,0,0,11817736015,Ⅲ.무형자산,0,0,8734529628
2011,관세청,0,0,11551566015,1. 소프트웨어,0,0,8734522628
2011,관세청,0,0,266170000,2. 기타무형자산,0,0,7000
2011,관세청,0,0,9377234761,Ⅳ.기타비유동자산,0,0,9383957827
2011,관세청,0,0,9377234761,1. 기타의기타비유동자산,0,0,9383957827
2011,관세청,0,0,2592922509486,자산계,0,0,4351326056973
2011,관세청,0,0,0,부채,0,0,0
2011,관세청,0,0,1868216837617,Ⅰ.유동부채,0,0,3470093019757
2011,관세청,0,0,14285163957,1. 유동성장기차입부채,0,0,15051223611
2011,관세청,0,0,1853931673660,2. 기타유동부채,0,0,3455041796146
2011,관세청,0,0,16366675851,Ⅱ.장기차입부채,0,0,21491611549
2011,관세청,0,0,16366675851,1. 장기차입금,0,0,21491611549
2011,관세청,0,0,50000000,Ⅲ.장기충당부채,0,0,46758370
2011,관세청,0,0,50000000,1. 퇴직급여충당부채,0,0,46758370
2011,관세청,0,0,24637327,Ⅳ.기타비유동부채,0,0,0
2011,관세청,0,0,24637327,1. 기타의기타비유동부채,0,0,0
2011,관세청,0,0,1884658150795,부채계,0,0,3491631389676
2011,관세청,0,0,0,순자산,0,0,0
2011,관세청,0,0,691124235824,Ⅰ.기본순자산,0,0,691124235824
2011,관세청,0,0,44952239890,Ⅱ.적립금 및 잉여금,0,0,-52989107576
2011,관세청,0,0,-27812117023,Ⅲ.순자산조정,0,0,221559539049
2011,관세청,0,0,708264358691,순자산계,0,0,859694667297
2011,관세청,0,0,2592922509486,부채와순자산계,0,0,4351326056973
2011,교육과학기술부,0,0,0,자산,0,0,0
2011,교육과학기술부,0,0,4943153362146,Ⅰ.유동자산,0,0,4555573247197
2011,교육과학기술부,0,0,233092511495,1. 현금및현금성자산,0,0,202080549207
2011,교육과학기술부,0,0,347963132137,2. 단기금융상품,0,0,57402716195
2011,교육과학기술부,0,0,3870907436559,3. 단기투자증권,0,0,3986875997180
2011,교육과학기술부,0,215539482951,0,4. 미수채권,0,108596690578,0
2011,교육과학기술부,0,102555131,215436927820,미수채권대손충당금,0,1531828091,107064862487
2011,교육과학기술부,0,173410726950,0,5. 단기대여금,0,118942611376,0
2011,교육과학기술부,0,84898490,173325828460,단기대여금대손충당금,0,221749558,118720861818
2011,교육과학기술부,0,0,102427525675,6. 기타유동자산,0,0,83428260310
2011,교육과학기술부,0,0,9231761774535,Ⅱ.투자자산,0,0,9471605749122
2011,교육과학기술부,0,0,22075369924,1. 장기금융상품,0,0,8237338282
2011,교육과학기술부,0,0,5099866333662,3. 장기투자증권,0,0,5040516887972
2011,교육과학기술부,0,4118245914335,0,2. 장기대여금,0,4430998753752,0
2011,교육과학기술부,0,8463575786,4109782338549,장기대여금대손충당금,0,8579051584,4422419702168
2011,교육과학기술부,0,0,37732400,4. 기타투자자산,0,0,431820700
2011,교육과학기술부,0,0,23129904917164,Ⅲ.일반유형자산,0,0,24665544914346
2011,교육과학기술부,0,0,10760432199648,1. 토지,0,0,14955057432844
2011,교육과학기술부,0,8637173487144,0,2. 건물,0,8006828715005,0
2011,교육과학기술부,0,64576424805,8572597062339,건물감가상각누계액,0,287373191656,7719455523349
2011,교육과학기술부,0,220315112471,0,3. 구축물,0,261524669370,0
2011,교육과학기술부,0,4830497710,215484614761,구축물감가상각누계액,0,56621037101,204903632269
2011,교육과학기술부,0,1657917620797,0,4. 기계장치,0,1741463024053,0
2011,교육과학기술부,0,2906843156,1655010777641,기계장치감가상각누계액,0,1237893579423,503569444630
2011,교육과학기술부,0,984986078557,0,5. 집기ㆍ비품ㆍ차량운반구,0,963310467011,0
2011,교육과학기술부,0,15373660420,969612418137,집기ㆍ비품ㆍ차량운반구감가상각누계액,0,677076875061,286233591950
2011,교육과학기술부,0,336720286358,0,6. 기타일반유형자산,0,477639427023,0
2011,교육과학기술부,0,6477944555,330242341803,기타일반유형자산감가상각누계액,0,269292100404,208347326619
2011,교육과학기술부,0,0,626525502835,7. 건설중인일반유형자산,0,0,787977962685
2011,교육과학기술부,0,0,125528381758,Ⅳ.무형자산,0,0,50896479044
2011,교육과학기술부,0,0,1193075320,1. 산업재산권,0,0,799966013
2011,교육과학기술부,0,0,3000000,2. 광업권,0,0,1475000
2011,교육과학기술부,0,0,122131580102,3. 소프트웨어,0,0,49635436261
2011,교육과학기술부,0,0,2200726336,4. 기타무형자산,0,0,459601770
2011,교육과학기술부,0,0,99300759976,Ⅴ.기타비유동자산,0,0,44752881102
2011,교육과학기술부,0,32786047260,0,1. 장기미수채권,0,11523160497,0
2011,교육과학기술부,0,11547526497,21238520763,장기미수채권대손충당금,0,11523160497,0
2011,교육과학기술부,0,0,78062239213,2. 기타의기타비유동자산,0,0,44752881102
2011,교육과학기술부,0,0,37529649195579,자산계,0,0,38788373270811
2011,교육과학기술부,0,0,0,부채,0,0,0
2011,교육과학기술부,0,0,264300049867,Ⅰ.유동부채,0,0,108816647838
2011,교육과학기술부,0,0,4824240,1. 단기차입금,0,0,0
2011,교육과학기술부,0,0,53000961496,2. 유동성장기차입부채,0,0,51170771039
2011,교육과학기술부,0,0,211294264131,3. 기타유동부채,0,0,57645876799
2011,교육과학기술부,0,0,1213579945270,Ⅱ.장기차입부채,0,0,1377074619206
2011,교육과학기술부,0,0,1213579945270,1. 장기차입금,0,0,1377074619206
2011,교육과학기술부,0,0,232054551270,Ⅲ.장기충당부채,0,0,693357849
2011,교육과학기술부,0,0,1301397223,1. 퇴직급여충당부채,0,0,693357849
2011,교육과학기술부,0,0,230753154047,2. 기타장기충당부채,0,0,0
2011,교육과학기술부,0,0,855342424158,Ⅳ.기타비유동부채,0,0,840788440209
2011,교육과학기술부,0,1245895738726,0,1. 장기미지급금,0,1199119911471,0
2011,교육과학기술부,0,426693469786,819202268940,장기미지급금현재가치할인차금,0,395955336297,803164575174
2011,교육과학기술부,0,0,36140155218,2. 기타의기타비유동부채,0,0,37623865035
2011,교육과학기술부,0,0,2565276970565,부채계,0,0,2327373065102
2011,교육과학기술부,0,0,0,순자산,0,0,0
2011,교육과학기술부,0,0,21031623960809,Ⅰ.기본순자산,0,0,20330910367086
2011,교육과학기술부,0,0,11941578564342,Ⅱ.적립금 및 잉여금,0,0,9103373058768
2011,교육과학기술부,0,0,1991169699863,Ⅲ.순자산조정,0,0,7026716779855
2011,교육과학기술부,0,0,34964372225014,순자산계,0,0,36461000205709
2011,교육과학기술부,0,0,37529649195579,부채와순자산계,0,0,38788373270811
2011,국가과학기술위원회,0,0,0,자산,0,0,0
2011,국가과학기술위원회,0,0,0,Ⅰ.유동자산,0,0,800419508
2011,국가과학기술위원회,0,0,0,1. 현금및현금성자산,0,0,33
2011,국가과학기술위원회,0,0,0,2. 기타유동자산,0,0,800419475
2011,국가과학기술위원회,0,0,0,Ⅱ.일반유형자산,0,0,1992514681
2011,국가과학기술위원회,0,0,0,1. 기계장치,0,290606060,0
2011,국가과학기술위원회,0,0,0,기계장치감가상각누계액,0,12192158,278413902
2011,국가과학기술위원회,0,0,0,2. 집기ㆍ비품ㆍ차량운반구,0,1807280620,0
