계정명,회계명,회계연도,수입항명,수입관명,수입목명,소관명,수입구분,국회확정금액,정부안금액
차관계정,공공자금관리기금,2008,예탁이자수입,정부내부수입및기타,기금전대차관이자수입,재정경제부,내부거래수입(기금간거래),597680.0,597680.0
차관계정,공공자금관리기금,2008,예탁이자수입,정부내부수입및기타,타회계전대차관이자수입,재정경제부,내부거래수입(예산=>기금간거래),9770954.0,9770954.0
,외국환평형기금,2008,기타이자수입및재산수입,재산수입,기타민간이자수입,재정경제부,일반수입,3279744000.0,3279744000.0
,외국환평형기금,2008,국공채수입,차입금및여유자금회수,국공채수입,재정경제부,보전수입,1000000000.0,1000000000.0
,외국환평형기금,2008,정부예금회수,차입금및여유자금회수,한국은행예치금회수,재정경제부,보전수입,20364500445.0,20364500445.0
,일반회계,2007,기타경상이전수입,경상이전수입,기타경상이전수입,교육인적자원부,일반수입,3561.0,3561.0
,일반회계,2007,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,교육인적자원부,일반수입,6034624.0,6034624.0
,일반회계,2007,전대차관이자수입,재산수입,기타민간전대차관이자수입,교육인적자원부,일반수입,1087115.0,1087115.0
,일반회계,2007,전대차관원금회수,융자및전대차관원금회수,통화금융기관전대차관원금회수,국무총리실,일반수입,889569.0,889569.0
,일반회계,2007,전대차관이자수입,재산수입,통화금융기관전대차관이자수입,국무총리실,일반수입,378289.0,378289.0
,일반회계,2007,면허료및수수료,수입대체경비수입,면허료및수수료,외교통상부,일반수입,32969633.0,32969633.0
차관계정,공공자금관리기금,2007,기타경상이전수입,경상이전수입,기타경상이전수입,재정경제부,일반수입,480247.0,480247.0
차관계정,공공자금관리기금,2007,전대차관원금회수,융자및전대차관원금회수,기타민간전대차관원금회수,재정경제부,일반수입,387998505.0,387998505.0
차관계정,공공자금관리기금,2007,전대차관원금회수,융자및전대차관원금회수,비통화금융기관전대차관원금회수,재정경제부,일반수입,400000000.0,400000000.0
차관계정,공공자금관리기금,2007,전대차관원금회수,융자및전대차관원금회수,지방자치단체전대차관원금회수,재정경제부,일반수입,7585442.0,7585442.0
차관계정,공공자금관리기금,2007,전대차관원금회수,융자및전대차관원금회수,통화금융기관전대차관원금회수,재정경제부,일반수입,11399499.0,11399499.0
차관계정,공공자금관리기금,2007,전대차관이자수입,재산수입,기타민간전대차관이자수입,재정경제부,일반수입,138590247.0,138590247.0
차관계정,공공자금관리기금,2007,전대차관이자수입,재산수입,비통화금융기관전대차관이자수입,재정경제부,일반수입,162118613.0,162118613.0
차관계정,공공자금관리기금,2007,전대차관이자수입,재산수입,지방자치단체전대차관이자수입,재정경제부,일반수입,748103.0,748103.0
차관계정,공공자금관리기금,2007,전대차관이자수입,재산수입,통화금융기관전대차관이자수입,재정경제부,일반수입,2338342.0,2338342.0
차관계정,공공자금관리기금,2007,예탁원금회수,정부내부수입및기타,기금전대차관원금회수,재정경제부,내부거래수입(기금간거래),7040671.0,7040671.0
차관계정,공공자금관리기금,2007,예탁원금회수,정부내부수입및기타,타회계전대차관원금회수,재정경제부,내부거래수입(예산=>기금간거래),75295293.0,75295293.0
차관계정,공공자금관리기금,2007,예탁이자수입,정부내부수입및기타,기금전대차관이자수입,재정경제부,내부거래수입(기금간거래),802323.0,802323.0
차관계정,공공자금관리기금,2007,예탁이자수입,정부내부수입및기타,타회계전대차관이자수입,재정경제부,내부거래수입(예산=>기금간거래),13782394.0,13782394.0
,외국환평형기금,2007,기타이자수입및재산수입,재산수입,기타민간이자수입,재정경제부,일반수입,2694120000.0,2694120000.0
,외국환평형기금,2007,기타이자수입및재산수입,재산수입,기타재산수입,재정경제부,일반수입,166800000.0,166800000.0
,외국환평형기금,2007,정부예금회수,차입금및여유자금회수,한국은행예치금회수,재정경제부,보전수입,13787785936.0,13787785936.0
